name,cluster_number,enriched_atoms,unenriched_atoms,1_enriched,1_unenriched,2_enriched,2_unenriched,3_enriched,3_unenriched,4_enriched,4_unenriched,r_enriched,r_unenriched,0_enriched,0_unenriched,not_r_enriched,not_r_unenriched
C-2,0,1,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,1,0
C,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0,1.0,0,1
C=C-3,1,1,1,1,1,0,0,0,0,0,0,0,0,0.0,0.0,1,1
C=C-2,1,2,0,2,0,0,0,0,0,0,0,0,0,0.0,0.0,2,0
C=C,1,0,2,0,2,0,0,0,0,0,0,0,0,0.0,0.0,0,2
[CH3]-2,2,1,0,0,0,0,0,0,0,0,0,1,0,1.0,0.0,0,0
[CH3],2,0,1,0,0,0,0,0,0,0,0,0,1,0.0,1.0,0,0
C[CH2]-4,3,1,1,1,1,0,0,0,0,0,0,0,1,0.0,0.0,1,0
C[CH2]-3,3,1,1,1,1,0,0,0,0,0,0,1,0,0.0,0.0,0,1
C[CH2]-2,3,2,0,2,0,0,0,0,0,0,0,1,0,0.0,0.0,1,0
C[CH2],3,0,2,0,2,0,0,0,0,0,0,0,1,0.0,0.0,0,1
CC-3,4,1,1,1,1,0,0,0,0,0,0,0,0,0.0,0.0,1,1
CC-2,4,2,0,2,0,0,0,0,0,0,0,0,0,0.0,0.0,2,0
CC,4,0,2,0,2,0,0,0,0,0,0,0,0,0.0,0.0,0,2
CCC-6,5,1,2,0,2,1,0,0,0,0,0,0,0,0.0,0.0,1,2
CCC-5,5,1,2,1,1,0,1,0,0,0,0,0,0,0.0,0.0,1,2
CCC-4,5,2,1,1,1,1,0,0,0,0,0,0,0,0.0,0.0,2,1
CCC-3,5,2,1,2,0,0,1,0,0,0,0,0,0,0.0,0.0,2,1
CCC-2,5,3,0,2,0,1,0,0,0,0,0,0,0,0.0,0.0,3,0
CCC,5,0,3,0,2,0,1,0,0,0,0,0,0,0.0,0.0,0,3
N#N,6,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0
[Ne],7,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0
[Ar],8,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0
[He],9,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0
