Temperature (C),ethene,methane,ethane,propene,propane
750,0.607903,0.607903,0.303951,0.911854,97.5684
800,3.95137,2.12766,0.911854,3.03951,89.6657
850,13.9818,5.16717,3.64742,8.51064,68.693
900,33.4347,6.38298,9.72644,11.8541,38.9058
950,61.0942,13.3739,11.5502,7.59878,6.38298
