Temperature (C),ethene,methane,ethane,propene,propane
750,0.609756,0,0.304878,0.914634,97.8659
800,3.96341,2.13415,0.914634,3.35366,90.2439
850,13.7195,5.18293,3.35366,8.53659,68.9024
900,33.2317,6.09756,9.45122,11.8902,39.0244
950,61.2805,13.7195,11.5854,7.62195,6.40244
