name,cluster_number,enriched_atoms,unenriched_atoms,1_enriched,1_unenriched,2_enriched,2_unenriched,3_enriched,3_unenriched,4_enriched,4_unenriched,r_enriched,r_unenriched,0_enriched,0_unenriched,not_r_enriched,not_r_unenriched
[H][H],0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0
C-2,1,1,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,1,0
C,1,0,1,0,0,0,0,0,0,0,0,0,0,0.0,1.0,0,1
C=C-3,2,1,1,1,1,0,0,0,0,0,0,0,0,0.0,0.0,1,1
C=C-2,2,2,0,2,0,0,0,0,0,0,0,0,0,0.0,0.0,2,0
C=C,2,0,2,0,2,0,0,0,0,0,0,0,0,0.0,0.0,0,2
[CH2]CC-8,3,1,2,0,2,1,0,0,0,0,0,0,1,0.0,0.0,1,1
[CH2]CC-7,3,1,2,1,1,0,1,0,0,0,0,0,1,0.0,0.0,1,1
[CH2]CC-6,3,2,1,1,1,1,0,0,0,0,0,0,1,0.0,0.0,2,0
[CH2]CC-5,3,1,2,1,1,0,1,0,0,0,0,1,0,0.0,0.0,0,2
[CH2]CC-4,3,2,1,1,1,1,0,0,0,0,0,1,0,0.0,0.0,1,1
[CH2]CC-3,3,2,1,2,0,0,1,0,0,0,0,1,0,0.0,0.0,1,1
[CH2]CC-2,3,3,0,2,0,1,0,0,0,0,0,1,0,0.0,0.0,2,0
[CH2]CC,3,0,3,0,2,0,1,0,0,0,0,0,1,0.0,0.0,0,2
[H],4,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0
[CH3]-2,5,1,0,0,0,0,0,0,0,0,0,1,0,1.0,0.0,0,0
[CH3],5,0,1,0,0,0,0,0,0,0,0,0,1,0.0,1.0,0,0
C[CH2]-4,6,1,1,1,1,0,0,0,0,0,0,0,1,0.0,0.0,1,0
C[CH2]-3,6,1,1,1,1,0,0,0,0,0,0,1,0,0.0,0.0,0,1
C[CH2]-2,6,2,0,2,0,0,0,0,0,0,0,1,0,0.0,0.0,1,0
C[CH2],6,0,2,0,2,0,0,0,0,0,0,0,1,0.0,0.0,0,1
CC-3,7,1,1,1,1,0,0,0,0,0,0,0,0,0.0,0.0,1,1
CC-2,7,2,0,2,0,0,0,0,0,0,0,0,0,0.0,0.0,2,0
CC,7,0,2,0,2,0,0,0,0,0,0,0,0,0.0,0.0,0,2
CCC-6,8,1,2,0,2,1,0,0,0,0,0,0,0,0.0,0.0,1,2
CCC-5,8,1,2,1,1,0,1,0,0,0,0,0,0,0.0,0.0,1,2
CCC-4,8,2,1,1,1,1,0,0,0,0,0,0,0,0.0,0.0,2,1
CCC-3,8,2,1,2,0,0,1,0,0,0,0,0,0,0.0,0.0,2,1
CCC-2,8,3,0,2,0,1,0,0,0,0,0,0,0,0.0,0.0,3,0
CCC,8,0,3,0,2,0,1,0,0,0,0,0,0,0.0,0.0,0,3
[He],9,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0
